n_arm,σ_obs,switch_cost,sample_cost,prior_bias,prop_seen,rt,mean_fixation_duration,best_seen_chosen,last_seen_chosen,n_refix
16.0,0.0,0.0,0.0,-0.4,0.5866,3800.61,292.5577333775363,0.5346,0.8867,3.5029
25.0,0.0,0.0,0.0,-0.4,0.432972,3785.95,257.0136713616508,0.5111,0.9145,3.68
36.0,0.0,0.0,0.0,-0.4,0.346525,4350.97,248.07279864582884,0.5211,0.9121,4.612
9.0,1.0,0.0,0.0,-0.4,0.7920000000000001,4362.4,365.18884727824303,0.5586,0.8271,4.6378
16.0,1.0,0.0,0.0,-0.4,0.5733375,3856.55,306.7877902976041,0.4984,0.902,3.3721
25.0,1.0,0.0,0.0,-0.4,0.43487999999999993,3987.07,273.19204694104457,0.4838,0.9162,3.6252
36.0,1.0,0.0,0.0,-0.4,0.3509361111111111,4892.25,260.34464135528884,0.4947,0.8395,5.5191
9.0,2.0,0.0,0.0,-0.4,0.7781222222222225,3603.73,313.9369629519878,0.492,0.8408,4.32
16.0,2.0,0.0,0.0,-0.4,0.60494375,4655.98,339.1380706243056,0.4729,0.9012,4.0618
25.0,2.0,0.0,0.0,-0.4,0.42738400000000004,3812.94,263.1551470652286,0.4508,0.9185,3.6828
36.0,2.0,0.0,0.0,-0.4,0.31153888888888887,3842.23,260.6966517293832,0.4517,0.9266,3.4242
9.0,3.0,0.0,0.0,-0.4,0.7304555555555557,3835.15,393.2100290817561,0.5021,0.8737,3.2215
16.0,3.0,0.0,0.0,-0.4,0.6135,4582.68,317.18204189437705,0.4477,0.8856,4.5469
25.0,3.0,0.0,0.0,-0.4,0.464728,4767.99,297.69049910601166,0.4293,0.9077,4.3197
36.0,3.0,0.0,0.0,-0.4,0.3210861111111111,4136.17,268.9770360688806,0.4254,0.922,3.718
9.0,0.0,-3.0,0.0,-0.4,0.7789222222222224,2620.3,184.4529798330586,0.5268,0.7693,6.8164
16.0,0.0,-3.0,0.0,-0.4,0.64741875,3895.51,197.319912004768,0.5177,0.8061,8.7012
25.0,0.0,-3.0,0.0,-0.4,0.471692,4073.21,192.72525521586715,0.5169,0.7931,8.5185
36.0,0.0,-3.0,0.0,-0.4,0.3590055555555556,4336.88,191.21329329902105,0.5155,0.8009,8.7528
9.0,0.0,-2.0,0.0,-0.4,0.7960888888888891,3230.33,229.24966364500645,0.5512,0.7933,6.5412
16.0,0.0,-2.0,0.0,-0.4,0.62433125,3739.92,226.91988505307341,0.5101,0.8531,6.1823
25.0,0.0,-2.0,0.0,-0.4,0.46756800000000004,4058.68,205.31867180097862,0.5156,0.8235,7.3134
