     ,subject,trial,fix_num,event_duration,leftrating,rightrating,rt     ,choice,roi,computed_rt,num_fixations,rev_fix_num,temp     ,corr_fix_duration
1530 ,17.0   ,51   ,1.0    ,458.0         ,1.0       ,2.0        ,1364.0 ,0.0   ,1.0,1374.0     ,2.0          ,2.0        ,373.38   ,458.0            
1531 ,17.0   ,51   ,2.0    ,698.0         ,1.0       ,2.0        ,1364.0 ,0.0   ,2.0,1374.0     ,2.0          ,1.0        ,545.48456,698.0            
1532 ,17.0   ,52   ,1.0    ,597.0         ,3.0       ,2.0        ,1006.0 ,1.0   ,1.0,1016.0     ,2.0          ,2.0        ,373.38   ,597.0            
1533 ,17.0   ,52   ,2.0    ,179.0         ,3.0       ,2.0        ,1006.0 ,1.0   ,2.0,1016.0     ,2.0          ,1.0        ,545.48456,179.0            
1534 ,17.0   ,53   ,1.0    ,539.0         ,3.0       ,2.0        ,1087.0 ,1.0   ,1.0,1097.0     ,2.0          ,2.0        ,373.38   ,539.0            
1535 ,17.0   ,53   ,2.0    ,319.0         ,3.0       ,2.0        ,1087.0 ,1.0   ,2.0,1097.0     ,2.0          ,1.0        ,545.48456,319.0            
1536 ,17.0   ,54   ,1.0    ,339.0         ,2.0       ,4.0        ,1166.0 ,0.0   ,1.0,1176.0     ,2.0          ,2.0        ,373.38   ,339.0            
1537 ,17.0   ,54   ,2.0    ,618.0         ,2.0       ,4.0        ,1166.0 ,0.0   ,2.0,1176.0     ,2.0          ,1.0        ,545.48456,618.0            
1538 ,17.0   ,55   ,1.0    ,557.0         ,0.0       ,2.0        ,1280.0 ,0.0   ,1.0,1295.0     ,2.0          ,2.0        ,373.38   ,557.0            
1539 ,17.0   ,55   ,2.0    ,518.0         ,0.0       ,2.0        ,1280.0 ,0.0   ,2.0,1295.0     ,2.0          ,1.0        ,545.48456,518.0            
1540 ,17.0   ,56   ,1.0    ,378.0         ,2.0       ,3.0        ,1034.0 ,0.0   ,1.0,1060.0     ,2.0          ,2.0        ,373.38   ,378.0            
1541 ,17.0   ,56   ,2.0    ,461.0         ,2.0       ,3.0        ,1034.0 ,0.0   ,2.0,1060.0     ,2.0          ,1.0        ,545.48456,461.0            
1542 ,17.0   ,57   ,1.0    ,298.0         ,0.0       ,2.0        ,1585.0 ,1.0   ,1.0,1593.0     ,3.0          ,3.0        ,373.38   ,298.0            
1543 ,17.0   ,57   ,2.0    ,598.0         ,0.0       ,2.0        ,1585.0 ,1.0   ,2.0,1593.0     ,3.0          ,2.0        ,545.48456,598.0            
1544 ,17.0   ,57   ,3.0    ,478.0         ,0.0       ,2.0        ,1585.0 ,1.0   ,1.0,1593.0     ,3.0          ,1.0        ,308.0    ,478.0            
1545 ,17.0   ,58   ,1.0    ,339.0         ,2.0       ,2.0        ,933.0  ,0.0   ,1.0,937.0      ,2.0          ,2.0        ,373.38   ,339.0            
1546 ,17.0   ,58   ,2.0    ,399.0         ,2.0       ,2.0        ,933.0  ,0.0   ,2.0,937.0      ,2.0          ,1.0        ,545.48456,399.0            
1547 ,17.0   ,59   ,1.0    ,359.0         ,2.0       ,0.0        ,919.0  ,1.0   ,1.0,916.0      ,2.0          ,2.0        ,373.38   ,359.0            
1548 ,17.0   ,59   ,2.0    ,358.0         ,2.0       ,0.0        ,919.0  ,1.0   ,2.0,916.0      ,2.0          ,1.0        ,545.48456,358.0            
1549 ,17.0   ,60   ,1.0    ,319.0         ,0.0       ,2.0        ,1001.0 ,0.0   ,1.0,996.0      ,2.0          ,2.0        ,373.38   ,319.0            
1550 ,17.0   ,60   ,2.0    ,278.0         ,0.0       ,2.0        ,1001.0 ,0.0   ,2.0,996.0      ,2.0          ,1.0        ,545.48456,278.0            
1551 ,17.0   ,61   ,1.0    ,598.0         ,3.0       ,5.0        ,1594.0 ,1.0   ,1.0,1616.0     ,3.0          ,3.0        ,373.38   ,598.0            
1552 ,17.0   ,61   ,2.0    ,438.0         ,3.0       ,5.0        ,1594.0 ,1.0   ,2.0,1616.0     ,3.0          ,2.0        ,545.48456,438.0            
1553 ,17.0   ,61   ,3.0    ,320.0         ,3.0       ,5.0        ,1594.0 ,1.0   ,1.0,1616.0     ,3.0          ,1.0        ,308.0    ,320.0            
1554 ,17.0   ,62   ,1.0    ,219.0         ,0.0       ,0.0        ,1169.0 ,1.0   ,1.0,1176.0     ,3.0          ,3.0        ,373.38   ,219.0            
1555 ,17.0   ,62   ,2.0    ,578.0         ,0.0       ,0.0        ,1169.0 ,1.0   ,2.0,1176.0     ,3.0          ,2.0        ,545.48456,578.0            
